Date,residual
2024-01-02,-8.736770629882812
2024-01-03,-18.041793823242188
2024-01-04,-18.451904296875
2024-01-05,-19.11497497558591
2024-01-08,-16.599868774414062
2024-01-09,-22.684524536132812
2024-01-10,-24.399383544921875
2024-01-11,-31.879241943359375
2024-01-12,-41.00852966308594
2024-01-16,-40.80838012695315
2024-01-17,-45.99464416503906
2024-01-18,-50.487152099609375
2024-01-19,-50.988677978515625
2024-01-22,-55.17427062988281
2024-01-23,-55.61091613769531
2024-01-24,-57.67692565917969
2024-01-25,-83.61187744140625
2024-01-26,-83.70608520507812
2024-01-29,-76.72027587890625
2024-01-30,-76.73565673828122
2024-01-31,-81.69349670410156
2024-02-01,-80.76521301269528
2024-02-02,-82.34197998046878
2024-02-05,-89.80499267578128
2024-02-06,-86.36523437500003
2024-02-07,-84.47349548339844
2024-02-08,-83.0704040527344
2024-02-09,-79.62637329101562
2024-02-12,-85.62179565429688
2024-02-13,-90.27674865722659
2024-02-14,-2.9004974365234375
2024-02-15,7.7870330810546875
2024-02-16,6.1170196533203125
2024-02-20,-1.345382690429659
2024-02-21,-1.679702758789091
2024-02-22,-0.4298858642578409
2024-02-23,-7.2852020263671875
2024-02-26,-1.2794189453124716
2024-02-27,-2.3704833984375284
2024-02-28,-1.46978759765625
2024-02-29,-3.0212554931640625
2024-03-01,-3.6313018798828125
2024-03-04,-19.477783203125
2024-03-05,-28.199981689453097
2024-03-06,-33.69828796386719
2024-03-07,-32.863555908203125
2024-03-08,-37.42718505859375
2024-03-11,-36.23094177246094
2024-03-12,-37.67669677734375
2024-03-13,-46.93623352050781
2024-03-14,-55.1015625
2024-03-15,-55.204345703125
2024-03-18,-46.13623046875
2024-03-19,-49.768585205078125
2024-03-20,-46.57264709472656
2024-03-21,-50.54936218261719
2024-03-22,-53.66963195800781
2024-03-25,-52.99409484863281
2024-03-26,-49.07316589355469
2024-03-27,-48.02708435058594
2024-03-28,-4.4174652099609375
2024-04-01,-6.881683349609375
2024-04-02,-17.408447265625
2024-04-03,-17.612350463867188
2024-04-04,-16.8421630859375
2024-04-05,-25.012298583984375
2024-04-08,-18.890457153320312
2024-04-09,-16.94647216796875
2024-04-10,-24.021469116210938
2024-04-11,-23.136947631835938
2024-04-12,-28.644561767578125
2024-04-15,-40.175994873046875
2024-04-16,-46.5123291015625
2024-04-17,-50.144439697265625
2024-04-18,-57.642669677734375
2024-04-19,-62.50700378417969
2024-04-22,-69.49710083007812
2024-04-23,-68.86238098144531
2024-04-24,-53.41166687011719
2024-04-25,-47.36393737792969
2024-04-26,-51.257904052734375
2024-04-29,-27.502288818359375
2024-04-30,-40.27577209472656
2024-05-01,-45.56690979003906
2024-05-02,-47.54444885253906
2024-05-03,-48.35700988769531
2024-05-06,-46.77340698242185
2024-05-07,-55.70234680175781
2024-05-08,-60.76277160644531
2024-05-09,-65.47360229492188
2024-05-10,-18.226242065429688
2024-05-13,-16.43560791015625
2024-05-14,-12.528396606445312
2024-05-15,-18.070281982421875
2024-05-16,-19.380355834960938
2024-05-17,-19.057174682617188
2024-05-20,-23.97161865234375
2024-05-21,-14.813034057617216
2024-05-22,-23.866134643554688
2024-05-23,-32.85957336425781
2024-05-24,-30.034576416015625
2024-05-28,-35.244110107421875
2024-05-29,-38.56254577636719
2024-05-30,-38.75494384765625
2024-05-31,-42.28729248046875
2024-06-03,-46.925872802734375
2024-06-04,-51.31733703613281
2024-06-05,-53.97871398925781
2024-06-06,-53.947174072265625
