units,dropout,epochs,batch_size,MAE,RMSE,MAPE
32,0.0,20,32,7.396717820212106,9.478006074939756,3.274485807884822
32,0.2,20,32,7.989652045419283,10.138690159969714,3.564716933512497
50,0.0,20,32,7.632364148291472,9.675864967814823,3.398387320532533
50,0.2,20,32,8.772623222564983,11.194365252432092,3.910293907404704
