Date,TSLA,BND,SPY
2015-07-01,17.94333267211914,60.816734313964844,174.91708374023438
2015-07-02,18.667999267578125,60.96710205078125,174.75692749023438
2015-07-06,18.648000717163086,61.17756271362305,174.25955200195312
2015-07-07,17.858667373657227,61.237701416015625,175.35543823242188
2015-07-08,16.997333526611328,61.4106330871582,172.41351318359375
2015-07-09,17.19466781616211,61.2076530456543,172.725341796875
2015-07-10,17.27666664123535,60.921958923339844,174.9002685546875
2015-07-13,17.477333068847656,60.77913284301758,176.83067321777344
2015-07-14,17.709999084472656,60.89188003540039,177.59779357910156
2015-07-15,17.542667388916016,61.0648307800293,177.53875732421875
2015-07-16,17.778667449951172,61.0648307800293,178.96336364746094
2015-07-17,18.310667037963867,61.07234573364258,179.1151123046875
2015-07-20,18.817333221435547,60.98966598510742,179.2078857421875
2015-07-21,17.784666061401367,61.10239028930664,178.49974060058594
2015-07-22,17.857999801635742,61.124900817871094,178.17938232421875
2015-07-23,17.81333351135254,61.267822265625,177.17626953125
2015-07-24,17.694000244140625,61.30540466308594,175.3385772705078
2015-07-27,16.867332458496094,61.42567443847656,174.31858825683594
2015-07-28,17.654666900634766,61.32041931152344,176.4597625732422
2015-07-29,17.58799934387207,61.267822265625,177.67361450195312
2015-07-30,17.785999298095703,61.29033660888672,177.71572875976562
2015-07-31,17.74333381652832,61.500823974609375,177.446044921875
2015-08-03,17.332666397094727,61.643192291259766,176.8475341796875
2015-08-04,17.75200080871582,61.43229675292969,176.50193786621094
2015-08-05,18.0086669921875,61.3343505859375,177.0835418701172
2015-08-06,16.408666610717773,61.372005462646484,175.6336212158203
2015-08-07,16.167333602905273,61.500091552734375,175.29641723632812
2015-08-10,16.076000213623047,61.372005462646484,177.50503540039062
2015-08-11,15.824666976928711,61.60554504394531,175.90341186523438
2015-08-12,15.878000259399414,61.58295822143555,176.11410522460938
2015-08-13,16.167333602905273,61.454872131347656,175.89498901367188
2015-08-14,16.209999084472656,61.43229675292969,176.53558349609375
2015-08-17,16.999332427978516,61.54525375366211,177.5219268798828
2015-08-18,17.381332397460938,61.43229675292969,177.00767517089844
2015-08-19,17.016666412353516,61.650753021240234,175.6083526611328
2015-08-20,16.14533233642578,61.70347213745117,171.94142150878906
2015-08-21,15.38466739654541,61.80137634277344,166.76556396484375
2015-08-24,14.591333389282227,61.786319732666016,159.74359130859375
2015-08-25,14.66866683959961,61.58295822143555,157.86375427246094
2015-08-26,14.989333152770996,61.319278717041016,163.9247283935547
2015-08-27,16.19933319091797,61.40216827392578,167.97940063476562
2015-08-28,16.565332412719727,61.43229675292969,167.98788452148438
2015-08-31,16.604000091552734,61.3493766784668,166.63067626953125
2015-09-01,15.908666610717773,61.49885559082031,161.6571044921875
2015-09-02,16.512666702270508,61.45355987548828,164.72552490234375
2015-09-03,16.3713321685791,61.49885559082031,164.84356689453125
2015-09-04,16.1286678314209,61.649871826171875,162.3483428955078
2015-09-08,16.544666290283203,61.49885559082031,166.4283447265625
2015-09-09,16.5939998626709,61.4837532043457,164.2029266357422
2015-09-10,16.565332412719727,61.35543441772461,165.09642028808594
2015-09-11,16.682666778564453,61.4837532043457,165.84674072265625
2015-09-14,16.87933349609375,61.49885559082031,165.23130798339844
2015-09-15,16.904666900634766,61.24223327636719,167.296630859375
2015-09-16,17.483333587646484,61.2044563293457,168.7465362548828
2015-09-17,17.471332550048828,61.551719665527344,168.36721801757812
2015-09-18,17.374666213989258,61.7253303527832,165.61581420898438
2015-09-21,17.613332748413086,61.49885559082031,166.47164916992188
2015-09-22,17.395999908447266,61.612117767333984,164.31088256835938
2015-09-23,17.40399932861328,61.612117767333984,164.0482177734375
2015-09-24,17.541332244873047,61.634742736816406,163.45506286621094
2015-09-25,17.12733268737793,61.52156066894531,163.41265869140625
2015-09-28,16.562000274658203,61.68000411987305,159.3114776611328
2015-09-29,16.44333267211914,61.7253303527832,159.40472412109375
2015-09-30,16.559999465942383,61.84611892700195,162.3789825439453
2015-10-01,15.991999626159668,61.87938690185547,162.8025665283203
2015-10-02,16.504667282104492,62.1138801574707,165.23448181152344
2015-10-05,16.40999984741211,61.871829986572266,168.1748504638672
2015-10-06,16.097333908081055,61.955020904541016,167.59861755371094
2015-10-07,15.46399974822998,61.955020904541016,168.97137451171875
2015-10-08,15.114666938781738,61.85670471191406,170.49664306640625
2015-10-09,14.712667465209961,61.84914016723633,170.59832763671875
2015-10-12,14.371999740600586,61.955020904541016,170.75926208496094
2015-10-13,14.616666793823242,61.992862701416016,169.6831512451172
2015-10-14,14.458666801452637,62.219764709472656,168.86962890625
2015-10-15,14.753999710083008,62.09877014160156,171.4625701904297
2015-10-16,15.133999824523926,62.07606887817383,172.24215698242188
2015-10-19,15.206666946411133,62.07606887817383,172.32687377929688
2015-10-20,14.20199966430664,61.97773742675781,172.10659790039062
2015-10-21,14.005999565124512,62.09119415283203,171.0388946533203
2015-10-22,14.114666938781738,62.19708251953125,173.92840576171875
2015-10-23,13.939332962036133,62.0382080078125,175.8349151611328
2015-10-26,14.350666999816895,62.106319427490234,175.40280151367188
2015-10-27,14.023332595825195,62.12144088745117,175.06387329101562
2015-10-28,14.197333335876465,61.94746398925781,177.0551300048828
2015-10-29,14.108667373657227,61.728118896484375,176.95347595214844
2015-10-30,13.795332908630371,61.864261627197266,176.19082641601562
2015-11-02,14.252667427062988,61.742244720458984,178.2753448486328
2015-11-03,13.890000343322754,61.63612747192383,178.7921905517578
2015-11-04,15.442000389099121,61.674007415771484,178.24990844726562
2015-11-05,15.451333045959473,61.560325622558594,178.07196044921875
