Date,TSLA,BND,SPY
2015-07-01,2.887218607054624,4.1078649865288535,5.164312054442754
2015-07-02,2.926810788853485,4.110334408050088,5.16339602261851
2015-07-06,2.9257389401913643,4.113780499969464,5.160545865939932
2015-07-07,2.8824889575277317,4.114763036055273,5.166814989691941
2015-07-08,2.8330564803779485,4.1175829974749165,5.1498957378932895
2015-07-09,2.844599325067911,4.114272231465804,5.151702713222951
2015-07-10,2.849356842061502,4.109593683178722,5.164215917499006
2015-07-13,2.8609047881552807,4.107246520243362,5.175192626206466
2015-07-14,2.8741294000992386,4.109099833074204,5.179521406939802
2015-07-15,2.8646360500064936,4.111936099474192,5.179188936202693
2015-07-16,2.8779992807051986,4.111936099474192,5.187181112531956
2015-07-17,2.907483788277571,4.112059157069549,5.18802868465093
2015-07-20,2.9347784249371234,4.110704439741596,5.18854650483037
2015-07-21,2.878336628805886,4.112550986350262,5.184587148000632
2015-07-22,2.8824515759871594,4.112919325182204,5.182790808703364
2015-07-23,2.8799472505538737,4.115254782864905,5.177145110079143
2015-07-24,2.873225612859127,4.115868006479561,5.16671883200928
2015-07-27,2.825378760670118,4.117827898216343,5.160884592031037
2015-07-28,2.8710001620618795,4.1161128920677,5.173092876294029
2015-07-29,2.8672168140131316,4.115254782864905,5.17994824074786
2015-07-30,2.878411591513583,4.115622189551195,5.18018524424168
2015-07-31,2.876009885749037,4.119050572683848,5.178666590435409
2015-08-03,2.8525929520823667,4.121362798391554,5.175287972549974
2015-08-04,2.876498231186613,4.117935702608607,5.1733318557250385
2015-08-05,2.890853141578418,4.116340054443621,5.176621609189309
2015-08-06,2.797809647121669,4.116953794091729,5.16840012765655
2015-08-07,2.782992762212369,4.119038663473711,5.166478353819462
2015-08-10,2.7773274898752756,4.116953794091729,5.178998976965999
2015-08-11,2.7615699236968796,4.120751883435356,5.169935048174129
2015-08-12,2.764934519639955,4.120385180014758,5.171132110106026
2015-08-13,2.782992762212369,4.118303118977247,5.169887163638309
2015-08-14,2.7856282792684133,4.117935702608607,5.173522462263714
2015-08-17,2.8331740743427307,4.119772737612694,5.179094133003706
2015-08-18,2.8553967795835615,4.117935702608607,5.17619309418115
2015-08-19,2.8341932409976196,4.121485443992209,5.168256246477132
2015-08-20,2.7816309884781445,4.122340203840976,5.147153846182107
2015-08-21,2.7333713898562366,4.123925635134316,5.116589017560598
2015-08-24,2.680427748988176,4.123681976410024,5.0735699754488275
2015-08-25,2.6857137113791145,4.120385180014758,5.061732346288485
2015-08-26,2.7073388249856087,4.116094291329101,5.099407349253722
2015-08-27,2.7849700803367528,4.117445148437161,5.12384135661614
2015-08-28,2.8073121027234547,4.117935702608607,5.123891860859234
2015-08-31,2.809643635704689,4.116585011015116,5.115779844052356
2015-09-01,2.7668640305860337,4.119018566359991,5.085477453049088
2015-09-02,2.804127765317273,4.118281765586954,5.104280603332028
2015-09-03,2.795531766726782,4.119018566359991,5.104996944761933
2015-09-04,2.7805982992298826,4.121471150551775,5.089744291508823
2015-09-08,2.806063771347448,4.119018566359991,5.114564854785566
2015-09-09,2.809041175966265,4.118772964372874,5.101103020463278
2015-09-10,2.8073121027234547,4.116683747799902,5.1065296686079575
2015-09-11,2.8143702629621643,4.118772964372874,5.111064113241299
2015-09-14,2.8260900035596954,4.119018566359991,5.107346358769063
2015-09-15,2.82758973177375,4.114837037733426,5.119768469471858
2015-09-16,2.86124806072023,4.114220002706318,5.128397803644989
2015-09-17,2.860561397713813,4.1198777915663625,5.126147415504028
2015-09-18,2.8550131805606735,4.122694387226369,5.10967073382273
2015-09-21,2.8686561577770675,4.119018566359991,5.114825019666297
2015-09-22,2.8562402894725305,4.120858568195397,5.1017602588105175
2015-09-23,2.8567000262818576,4.120858568195397,5.100160395425132
2015-09-24,2.864559938727418,4.121225717015967,5.09653810770556
2015-09-25,2.8406755901931633,4.119387693356519,5.096278649996854
2015-09-28,2.8071109311951457,4.121959796049382,5.070861264923953
2015-09-29,2.799920086365848,4.122694387226369,5.0714464028121435
2015-09-30,2.806990116707257,4.124649347104118,5.089933001519518
2015-10-01,2.7720885738213896,4.125187117799536,5.092538218360147
2015-10-02,2.8036432064896992,4.128969476966872,5.107365566978948
2015-10-05,2.79789089580353,4.125064987036176,5.125004214741464
2015-10-06,2.7786536625065605,4.126408652483313,5.121571939527752
2015-10-07,2.7385147256249884,4.126408652483313,5.12972931898893
2015-10-08,2.715665592843539,4.124820495742872,5.138715607769664
2015-10-09,2.6887088550337617,4.124698196837844,5.139311832176698
2015-10-12,2.665281851202329,4.126408652483313,5.140254740522734
2015-10-13,2.682162438849506,4.127019260699442,5.133932881778442
2015-10-14,2.6712940134103578,4.13067270987238,5.1291269906302315
2015-10-15,2.69151421281205,4.128726184260255,5.144364993167595
2015-10-16,2.716943856677505,4.1283605503869225,5.148901376099047
2015-10-19,2.7217339465843047,4.1283605503869225,5.149393102232384
2015-10-20,2.6533827761228532,4.126775246800701,5.148114040079318
2015-10-21,2.6394857781840972,4.1286041778030995,5.141890984751879
2015-10-22,2.647214465166464,4.130308093814381,5.15864375340162
2015-10-23,2.6347145535444674,4.127750453426514,5.169545572818705
2015-10-26,2.6637964219489074,4.1288477458794155,5.167085051952331
2015-10-27,2.6407225563428183,4.1290911932376755,5.165150897565157
2015-10-28,2.6530541537237187,4.12628667082493,5.1764611530315845
2015-10-29,2.646789315880525,4.122739562856838,5.175886850295336
2015-10-30,2.6243303399355393,4.124942656367966,5.171567648673492
2015-11-02,2.6569440770612665,4.122968376049291,5.183329236275884
